well_name,X,Y,Coal_seam_depth,Coal_seam_thickness,Reservoir_pressure,Floor_sandstone,Roof_sandstone,Gas_saturation,Gas_content,Water_content,Ash,Porosity,Permeability,Desorption_pressure
华加1,645730.9,3963920,680.4808,6.812003,4.926722,53.15302,83.02836,62.02732,23.29586,1.001311,9.067161,3.522702,0.230468,2.725641
华加10,647609.9,3962427,642.7836,8.599082,4.87371,70.84328,88.71091,63.21923,20.51015,1.118309,8.72223,5.706433,0.725931,2.137209
华加11,644210.7,3952526,708.767,6.805167,3.7404,57.43805,64.02237,67.90417,22.64296,1.135564,8.698552,6.887309,1.353453,2.573162
华加12,644259.6,3952947,690.8262,6.182418,4.078299,71.47026,60.83484,65.76836,23.7954,0.968768,8.970039,5.662273,0.702227,2.881565
华加13,644605.2,3953082,623.8198,6.142715,3.252438,63.42104,70.79951,76.00417,21.15605,0.728766,8.500023,5.734104,0.712637,2.224812
华加19,645020.9,3953999,534.5479,5.971318,2.530339,76.21071,77.02934,51.00219,18.42909,1.242018,9.30963,6.501078,1.009437,1.740928
华加2,645362.4,3963834,655.5942,6.799714,4.972291,29.99387,85.81345,67.84916,25.41925,0.632116,9.922707,2.716838,0.145907,3.274363
华加3,645623.6,3963748,681.488,6.568276,4.813454,28.14295,82.24244,52.59284,24.7858,0.752694,9.37175,3.498886,0.224352,3.11009
华加14,644469,3952678,722.5892,6.517337,3.058451,55.05308,63.93919,65.1294,21.11752,1.165212,8.851312,6.461306,1.02155,2.147845
华加15,644198.9,3952964,690.8262,6.182418,4.078299,71.47026,60.83484,65.76836,23.7954,0.968768,8.970039,5.662273,0.702227,2.881565
华加5,644524.3,3960163,704.1436,6.598102,5.123149,80.60638,39.30588,64.76514,23.08453,1.128809,9.382742,6.437487,0.963416,2.646445
华加6,644783.4,3960128,694.0269,6.175204,5.15546,75.62531,65.66881,72.39154,21.69462,1.130757,9.231109,5.266813,0.61901,2.352839
华加8,644592.5,3959944,703.5449,6.431241,5.216335,80.29292,66.35223,71.50285,23.29681,1.066231,8.806943,7.404158,1.750358,2.711764
华固2-14,644338.8,3959991,712.5095,6.538122,5.509243,76.60175,58.30606,62.09125,24.20842,1.125272,9.119703,6.531599,1.229047,2.930075
华固19-5,645074,3963788,662.829,6.808432,4.864852,27.17457,81.7599,64.18713,22.61968,1.109912,9.39328,4.782635,0.462657,2.635424
华固19-6,645379.8,3963650,660.7424,6.783635,4.979875,32.42089,82.441,60.16024,24.69207,1.019769,9.681396,3.306504,0.241343,3.073069
华固20-5,645292.3,3963949,661.6436,6.82184,5.039548,34.09487,79.94508,70.87837,25.59963,0.905537,9.559999,3.790025,0.314733,3.376297
华固20-6,645603.3,3963851,680.4808,6.812003,4.926722,53.15302,83.02836,62.02732,23.29586,1.001311,9.067161,3.522702,0.230468,2.725641
华固3-14,644694.2,3960312,711.4459,6.472634,5.484299,74.85641,59.0695,63.22012,20.68548,1.110001,9.320608,5.411687,0.750362,2.135661
华固21-6,645507.3,3964172,664.7202,6.955752,5.119104,47.49977,66.61152,62.00774,27.51704,1.119911,9.363139,4.203573,0.389806,3.957884
华固21-7,645825.2,3964036,676.9108,6.96998,4.84331,65.34008,73.87376,63.63825,24.99828,1.09132,9.009855,3.839406,0.295559,3.146761
华固21-8,645880.9,3963770,675.1302,6.793831,4.638509,45.47488,75.71854,51.6916,22.56933,1.026414,9.2331,3.836743,0.315889,2.623776
华尧8-4,647498.5,3962519,690.0125,8.05737,4.735527,63.51867,73.69187,67.18027,24.23052,1.09217,8.680182,7.852911,2.118293,3.445503
华尧8-5,647517,3962235,609.9803,7.260902,4.752166,78.61148,72.89286,57.15262,24.27985,1.143731,8.753196,7.588188,1.878746,3.189518
华尧9-4,647792.3,3962562,638.2729,6.732039,4.690695,62.39856,85.46623,50.45741,24.34557,1.092301,9.169277,8.84009,3.478003,3.001659
华尧9-5,647870.9,3962325,583.0388,7.477727,4.450331,61.44941,71.0112,63.46355,22.89406,1.116843,9.12801,7.259569,1.569931,2.679771
华蒲1-27,645259.8,3953851,523.8138,5.717945,2.114213,55.96684,58.24674,60.28698,18.58845,1.129386,9.272313,6.882451,1.26885,1.772212
华蒲1-28,645240.6,3954095,506.3329,5.584979,2.198164,61.59284,66.87394,56.34973,18.81248,1.146879,9.193128,6.74317,1.163163,1.811946
华蒲1-36,644771.7,3954218,487.1015,6.169322,3.164504,62.20045,57.43729,59.05485,19.18647,1.123612,9.27547,7.777529,2.031958,1.896746
华蒲1-15,644495.9,3953331,702.6798,5.753263,3.005466,40.52576,40.2356,71.09485,20.30003,1.092753,8.628474,7.150746,1.492616,2.103193
华蒲1-16,644914.9,3953068,581.4327,5.81871,2.894604,50.73786,71.13143,54.82265,19.93874,1.095347,9.294946,7.059856,1.35462,2.027266
华蒲2-17,644207.8,3953134,704.2735,5.524816,3.819473,49.03168,61.93147,63.24445,20.46681,1.075827,9.077235,6.532625,1.078213,2.147871
华蒲3-19,644041.5,3952890,725.7599,5.647891,3.571002,64.70266,63.15792,59.92294,22.33444,1.124289,8.962994,6.414419,0.957889,2.478918
华蒲3-20,644238.8,3952711,726.9347,6.443122,3.045995,44.84169,60.89983,65.49308,20.51797,1.098367,8.618268,5.42038,0.616966,2.12684
华蒲4-19,643948.6,3952607,706.5204,6.427332,3.317692,76.42243,68.87384,65.74352,20.23185,1.119232,8.795794,7.302415,1.571477,2.060427
华蒲4-20,644433.7,3952449,700.5398,6.659759,3.007744,62.89968,60.40966,57.43317,21.01851,1.125174,8.823622,6.843497,1.235027,2.212556
华蒲5-21,644042.1,3952347,651.7498,5.88785,3.021122,75.66601,67.81124,49.90779,20.11049,1.134098,9.353992,5.489209,0.673528,2.046858
樊62,645115.5,3963957,663.9617,6.805816,4.977005,25.4442,82.95504,64.72531,23.76755,1.098596,9.38614,4.848423,0.457497,3.106949
樊63,644341.6,3960423,754.2988,7.228477,5.367631,69.33009,75.07151,68.66656,21.51213,0.982323,9.552567,4.81204,0.450119,2.22946
华固1-8,645174.8,3959694,751.3309,6.499464,4.9701,41.92125,36.3905,72.46529,24.99497,1.119199,9.387727,5.543485,0.707065,3.151017
